"","Site","Sample_type","Species","Hybrid","Elevation_cat","Elevation_m","Longitude","Latitude","Sample","Dup_ID","Unique_ID","LT","ACI","LPS","LMA","ImageJ_1","ImageJ_2","LBI","logLBI","logACI","logLT","logLPS","logLMA"
"53","BMLZ","sample","L","","MEDIUM",1730,-119.314015,37.090625,1,"","BMLZ_L001",258,3.2,0.32,0.5,291407,399990,0.271464287,-0.566287296752882,0.505149978319906,2.41161970596323,-0.494850021680094,-0.301029995663981
"54","BMLZ","sample","L","","MEDIUM",1730,-119.314015,37.090625,1,"","BMLZ_L001",279,3.2,0.25,1,291407,399990,0.271464287,-0.566287296752882,0.505149978319906,2.4456042032736,-0.602059991327962,0
"55","BMLZ","sample","L","","MEDIUM",1730,-119.314015,37.090625,1,"","BMLZ_L001",247,2.9,0.3,0.8,291407,399990,0.271464287,-0.566287296752882,0.462397997898956,2.39269695325967,-0.522878745280338,-0.0969100130080564
"56","BMLZ","sample","L","","MEDIUM",1730,-119.314015,37.090625,2,"","BMLZ_L002",290,4.3,0.34,0.6,147308,167372,0.119876682,-0.92126528615543,0.633468455579587,2.46239799789896,-0.468521082957745,-0.221848749616356
"57","BMLZ","sample","L","","MEDIUM",1730,-119.314015,37.090625,2,"","BMLZ_L002",305,3.1,0.3,NA,147308,167372,0.119876682,-0.92126528615543,0.491361693834273,2.48429983934679,-0.522878745280338,NA
"58","BMLZ","sample","L","","MEDIUM",1730,-119.314015,37.090625,2,"","BMLZ_L002",260,2.2,0.32,NA,147308,167372,0.119876682,-0.92126528615543,0.342422680822206,2.41497334797082,-0.494850021680094,NA
"59","BMLZ","sample","L","","MEDIUM",1730,-119.314015,37.090625,3,"","BMLZ_L003",255,2.2,0.25,0.4,128616,198566,0.352275818,-0.453117167972922,0.342422680822206,2.40654018043396,-0.602059991327962,-0.397940008672038
"60","BMLZ","sample","L","","MEDIUM",1730,-119.314015,37.090625,3,"","BMLZ_L003",220,1.8,0.34,NA,128616,198566,0.352275818,-0.453117167972922,0.255272505103306,2.34242268082221,-0.468521082957745,NA
"61","BMLZ","sample","L","","MEDIUM",1730,-119.314015,37.090625,3,"","BMLZ_L003",225,2.3,0.35,NA,128616,198566,0.352275818,-0.453117167972922,0.361727836017593,2.35218251811136,-0.455931955649724,NA
"62","BMLZ","sample","L","","MEDIUM",1730,-119.314015,37.090625,4,"","BMLZ_L004",385,5.1,0.23,0.5,135531,147598,0.08175585,-1.08748116182584,0.707570176097936,2.5854607295085,-0.638272163982407,-0.301029995663981
"63","BMLZ","sample","L","","MEDIUM",1730,-119.314015,37.090625,4,"","BMLZ_L004",375,4,0.23,0.4,135531,147598,0.08175585,-1.08748116182584,0.602059991327962,2.57403126772772,-0.638272163982407,-0.397940008672038
"64","BMLZ","sample","L","","MEDIUM",1730,-119.314015,37.090625,4,"","BMLZ_L004",240,2.9,0.28,NA,135531,147598,0.08175585,-1.08748116182584,0.462397997898956,2.38021124171161,-0.552841968657781,NA
