"","Unique_ID","Site","Species","Elevation_m","Elevation_cat","Longitude","Latitude","ACI","LT","LPS","LMA","ImageJ_1","ImageJ_2","LBI","logLBI","logACI","logLT","logLPS","logLMA","Observed","Shannon","Simpson_1minusD","hill_1","hill_2"
"11","BHEB_N006","BHEB","M. nasutus",1209,"LOW",-119.393233,37.053544,8.1,628.333333333333,0.53,0.4,957351,1081142,0.114500223,-0.941193667493743,0.90848501887865,2.79819009982215,-0.275724130399211,-0.397940008672038,23,1.02227368712718,0.426503785582229,2.77950731486368,1.74369067285863
"12","BHEB_N208","BHEB","M. nasutus",1124,"LOW",-119.393233,37.053544,5.03333333333333,456.666666666667,0.226666666666667,0.266666666666667,853016,942457,0.094901942,-1.02272490041513,0.701855692573507,2.65959931243674,-0.644612342013426,-0.574031267727719,5,1.07539311871008,0.530285493827161,2.93114496199691,2.12895277207392
"13","CCNB_G004","CCNB","M. guttatus",1997,"HIGH",-119.963252,38.183927,3.4,251.666666666667,0.336666666666667,0.3,164375,195816,0.160563999,-0.794351823866327,0.531478917042255,2.40082569690953,-0.47279988093702,-0.522878745280338,6,0.916805993719882,0.426088474786115,2.50128848653979,1.74242885195121
"14","CCRB_N001","CCRB","M. nasutus",666,"LOW",-119.99792,37.486337,3.4,457.333333333333,0.306666666666667,0.433333333333333,1275137,1467045,0.13081262,-0.88335035592019,0.531478917042255,2.66023285665107,-0.513333427374107,-0.363177902412826,59,3.18774606433638,0.926013688974026,24.2337445392911,13.5160137886714
"15","CCRB_N002","CCRB","M. nasutus",666,"LOW",-119.99792,37.486337,3.83333333333333,316.666666666667,0.253333333333333,0.3,901197,1015528,0.112582814,-0.948527900378262,0.583576585633949,2.50060235056919,-0.596307662438871,-0.522878745280338,1,0,0,1,1
"16","CCRB_N003","CCRB","M. nasutus",666,"LOW",-119.99792,37.486337,4.66666666666667,335.333333333333,0.266666666666667,0.333333333333333,1028976,1229396,0.163023143,-0.78775073814977,0.669006780958576,2.52547672600025,-0.574031267727719,-0.477121254719662,7,1.91012917903105,0.846648301193756,6.75396121234648,6.52095808383234
"17","CCRB_N006","CCRB","M. nasutus",666,"LOW",-119.99792,37.486337,5.66666666666667,339,0.346666666666667,0.333333333333333,1923140,2188643,0.121309414,-0.91610549517951,0.753327666658612,2.53019969820308,-0.460087915420882,-0.477121254719662,3,0.89820533970415,0.561224489795918,2.45519291769306,2.27906976744186
"18","CCRB_N007","CCRB","M. nasutus",666,"LOW",-119.99792,37.486337,5.13333333333333,363.333333333333,0.293333333333333,0.333333333333333,1242150,1503321,0.173729363,-0.760126772737985,0.710399466116801,2.56030524322096,-0.532638582569494,-0.477121254719662,1,0,0,1,1
"19","HDRB_G001","HDRB","M. guttatus",1037,"LOW",-119.534709,37.288671,8.06666666666667,227.666666666667,0.363333333333333,0.266666666666667,207266,235256,0.118976774,-0.924537810944695,0.906694111260769,2.35729944896187,-0.439694756779039,-0.574031267727719,5,1.03799482575692,0.543268595587264,2.82354962521656,2.18947063928261
"20","HDRB_G002","HDRB","M. guttatus",1037,"LOW",-119.534709,37.288671,6.23333333333333,326,0.603333333333333,0.5,551641,623082,0.114657461,-0.94059767956726,0.794720351816837,2.51321760006794,-0.219442679850478,-0.301029995663981,1,0,0,1,1
"21","HDRB_G005","HDRB","M. guttatus",1037,"LOW",-119.534709,37.288671,15.7333333333333,303.333333333333,0.386666666666667,0.3,212328,242457,0.124265334,-0.905650008544824,1.19682074391443,2.48192013760143,-0.412663265492744,-0.522878745280338,27,1.63201265379088,0.648047155124943,5.1141573956006,2.84128971980607
"22","HDRB_G006","HDRB","M. guttatus",1037,"LOW",-119.534709,37.288671,5.13333333333333,330.666666666667,0.52,0.6,247712,301009,0.177061151,-0.751876716941632,0.710399466116801,2.51939041743452,-0.283996656365201,-0.221848749616356,14,0.900935292090187,0.372050218772521,2.46190463462239,1.59248403279202
"23","HDRB_G010","HDRB","M. guttatus",1037,"LOW",-119.534709,37.288671,21.4,322,0.593333333333333,0.5,577331,655957,0.119864564,-0.921309189994456,1.33041377334919,2.50785587169583,-0.226701252410768,-0.301029995663981,29,1.8189706096046,0.761496140780818,6.16550846693994,4.1928042727435
"24","HHBB_G002","HHBB","M. guttatus",1199,"LOW",-119.778553,37.959056,3.26666666666667,496.666666666667,0.716666666666667,0.65,NA,NA,NA,NA,0.514104820972832,2.69606501369261,-0.144682794804057,-0.187086643357144,4,0.955195628617195,0.509034986543637,2.59917900698173,2.03680501174628
"25","HHBB_G010","HHBB","M. guttatus",1199,"LOW",-119.778553,37.959056,2.7,294,0.17,0.2,NA,NA,NA,NA,0.431363764158987,2.46834733041216,-0.769551078621726,-0.698970004336019,13,1.73850595804461,0.723289982682651,5.68883770809367,3.61389157391124
"26","HHBB_L008","HHBB","M. laciniatus",1199,"LOW",-119.778553,37.959056,6.26666666666667,504.666666666667,0.376666666666667,0.6,NA,NA,NA,NA,0.797036594544017,2.70300462044439,-0.424042811236243,-0.221848749616356,1,0,0,1,1
"27","HHBB_L010","HHBB","M. laciniatus",1199,"LOW",-119.778553,37.959056,NA,369.666666666667,0.283333333333333,NA,NA,NA,NA,NA,NA,2.5678102914295,-0.54770232900537,NA,21,1.34033882021273,0.613879340361172,3.82033769373547,2.5898640102174
"28","HUOB_G012","HUOB","M. guttatus",1851,"HIGH",-119.273507,37.150723,10,444.333333333333,0.643333333333333,2.13333333333333,582948,632244,0.077969898,-1.10807303392177,1,2.6477088946942,-0.191563945711889,0.329058719264225,23,1.85727026528133,0.772218575221134,6.40622558546037,4.39017361038468
"29","HUOB_G022","HUOB","M. guttatus",1851,"HIGH",-119.273507,37.150723,3.66666666666667,360,0.57,0.433333333333333,564502,598517,0.056832137,-1.24540601332253,0.564271430438563,2.55630250076729,-0.244125144327509,-0.363177902412826,5,0.646979839977433,0.332779820233001,1.9097643165673,1.49875562868799
"30","HUOB_G062","HUOB","M. guttatus",1851,"HIGH",-119.273507,37.150723,5.43333333333333,279,0.46,0.533333333333333,337092,374836,0.100694704,-0.9969933704003,0.735066349684295,2.4456042032736,-0.337242168318426,-0.273001272063738,7,0.860861427573534,0.459482533209416,2.36519726254038,1.85007897328031
"31","HUOB_G092","HUOB","M. guttatus",1851,"HIGH",-119.273507,37.150723,6.03333333333333,297.666666666667,0.633333333333333,0.8,185227,200581,0.076547629,-1.11606825667263,0.780557320149522,2.47373020416888,-0.198367653766833,-0.0969100130080564,16,1.45698816969013,0.698016972738122,4.29301021927416,3.31144438502766
