"","Unique_ID","Site","Species","Elevation_m","Elevation_cat","Longitude","Latitude","ACI","LT","LPS","LMA","LBI","Observed","Shannon","Simpson_1minusD","hill_2","hill_1"
"349","TRTZ_L005","KNOB","M. laciniatus",2572,"HIGH",-119.440369,37.853852,5.16666666666667,422.666666666667,0.303333333333333,NA,0.546582383,19,1.99030473361145,0.762328888888889,4.20749495100606,7.31776339103679
"350","TRTZ_L010","KNOB","M. laciniatus",2572,"HIGH",-119.440369,37.853852,3.7,371.666666666667,0.296666666666667,NA,0.554941836,7,0.359160387059573,0.137244444444444,1.15907685967443,1.43212647770732
"351","TWGB_G002","LMZZ","M. guttatus",2157,"HIGH",-119.772719,37.767781,2.2,341.666666666667,0.31,0.3,NA,9,0.451068545333912,0.166602666666667,1.19990784707734,1.56998889381798
"352","TWGB_G007","OPNZ","M. laciniatus",2506,"HIGH",-119.486313176147,37.8072315532725,5.13333333333333,358.333333333333,0.18,NA,0.384245404,17,1.63636353419708,0.703779555555555,3.37586422124064,5.1364569589962
"353","WCFB_G003","OSKB","M. laciniatus",2399,"HIGH",-119.594572,37.842693,NA,266.666666666667,0.346666666666667,NA,0.397837605,5,0.320335210773481,0.144515555555556,1.16892832651026,1.37758946977902
"354","WCFB_G005","SDSB","M. guttatus",1679,"MID",-120.094614,38.136194,4.66666666666667,371,0.323333333333333,0.433333333333333,0.174807482,16,1.74170123658949,0.762264888888889,4.20636226313507,5.70704420108543
"355","WCFB_G006","TRTZ","M. laciniatus",1486,"MID",-119.70531698,37.71609798,4.3,361.666666666667,0.243333333333333,0.4,0.373069814,29,2.41740883505023,0.857621333333333,7.02352412346419,11.2167571589213
"356","WCFB_G007","TRTZ","M. laciniatus",1486,"MID",-119.70531698,37.71609798,3.56666666666667,474.333333333333,0.22,0.5,0.348071626,14,1.03191572246859,0.447601777777778,1.81028823006913,2.80643704268382
"357","WCFB_G008","TWGB","M. guttatus",1238,"MID",-119.951305,37.85882,2.06666666666667,217.333333333333,0.393333333333333,0.2,NA,14,1.09034233138848,0.487662222222222,1.95183732953954,2.97529243423469
"358","WSHB_G001","WCFB","M. guttatus",1380,"MID",-119.719077,37.723593,6.16666666666667,520,0.26,0.633333333333333,0.021116847,17,1.96003030182043,0.796629333333333,4.91712996957936,7.0995421909499
"359","WSHB_G004","WCFB","M. guttatus",1380,"MID",-119.719077,37.723593,3.96666666666667,314.333333333333,0.266666666666667,0.533333333333333,0.142964222,11,1.59399019693967,0.764174222222222,4.24041853873292,4.92335494220826
"360","WSHB_G005","WCFB","M. laciniatus",1380,"MID",-119.719077,37.723593,3.13333333333333,344,0.376666666666667,0.733333333333333,0.422820656,20,1.38675230349883,0.595943111111111,2.47489902411982,4.00183218900225
"361","WSHB_G006","WSHB","M. guttatus",1235,"MID",-119.647878,37.543343,7.33333333333333,261.666666666667,0.51,NA,0.09703621,15,1.98668892075465,0.783328,4.61527100871363,7.29135150707522
"362","WSHB_G205","WSHB","M. guttatus",1235,"MID",-119.647878,37.543343,6.53333333333333,348,0.626666666666667,NA,0.054711922,12,0.452457375277269,0.157372444444444,1.18676394263025,1.57217085624111
"363","YCNB_L001","YCNB","M. laciniatus",2357,"HIGH",-119.572754,37.843904,2.46666666666667,280.666666666667,0.216666666666667,NA,0.323702628,5,1.19511683219457,0.650734222222222,2.86314910771549,3.30394375495315
"364","YCNB_L002","YCNB","M. laciniatus",2357,"HIGH",-119.572754,37.843904,3,389,0.296666666666667,NA,0.395190673,9,0.594311012791718,0.269411555555556,1.36875967256835,1.811782220058
"365","YCNB_L004","YCNB","M. laciniatus",2357,"HIGH",-119.572754,37.843904,4.13333333333333,364,0.283333333333333,NA,0.333210169,10,0.591808611844762,0.258517333333333,1.34864919296832,1.80725408248566
"366","YCNB_L005","YCNB","M. laciniatus",2357,"HIGH",-119.572754,37.843904,4.16666666666667,380.666666666667,0.306666666666667,NA,0.44541338,15,1.74371648239245,0.751505777777778,4.02423843523301,5.71855689451625
